user_id,order_num,order_num_optipro,prescript_lab,order_date_processed,order_product_price,order_total
sorel,1574541,3,25,2022-06-16,120.00,125.99
sorel,1574759,18,25,2022-06-17,134.00,139.99
sorel,1574807,34,25,2022-06-17,216.00,221.99
sorel,1574808,30,25,2022-06-17,88.00,93.99
sorel,1574811,31,25,2022-06-17,176.00,181.99
sorel,1574992,54,25,2022-06-18,176.00,191.99
sorel,1574996,50,25,2022-06-18,176.00,181.99
sorel,1574997,38,25,2022-06-18,176.00,181.99
sorel,1575155,59,25,2022-06-21,220.00,225.99
sorel,1575258,66,25,2022-06-21,84.00,89.99
sorel,1575354,63,25,2022-06-22,88.00,93.99
sorel,1575448,83,25,2022-06-23,216.00,221.99
sorel,1575570,91,25,2022-06-23,176.00,181.99
sorel,1575581,101,25,2022-06-23,216.00,221.99
sorel,1575616,97,25,2022-06-24,176.00,182.00
sorel,1575611,84,25,2022-06-24,186.00,191.99
sorel,1575613,90,25,2022-06-24,252.00,257.99
sorel,1575615,97,25,2022-06-24,176.00,182.00
sorel,1575813,97,25,2022-06-28,176.00,181.99
sorel,1575893,108,25,2022-06-28,88.00,93.99
sorel,1575898,112,25,2022-06-28,88.00,93.99
sorel,1575964,117,25,2022-06-28,88.00,93.99
sorel,1575965,116,25,2022-06-28,88.00,93.99
sorel,1576078,129,25,2022-06-29,168.00,173.99
sorel,1576247,145,25,2022-06-30,103.00,102.99
sorel,1576092,131,25,2022-06-30,260.00,267.99
sorel,1576231,139,25,2022-06-30,176.00,181.99
sorel,1576562,152,25,2022-07-05,76.00,81.99
sorel,1576567,151,25,2022-07-05,216.00,221.99
sorel,1576632,166,25,2022-07-06,212.00,217.99
sorel,1576634,164,25,2022-07-06,176.00,181.99
sorel,1576749,173,25,2022-07-06,176.00,181.99
sorel,1576908,177,25,2022-07-07,168.00,173.99
sorel,1576976,192,25,2022-07-08,25.00,24.99
sorel,1577074,194,25,2022-07-08,103.00,102.99
sorel,1577077,199,25,2022-07-08,168.00,173.99
sorel,1577078,200,25,2022-07-08,84.00,89.99
sorel,1577079,203,25,2022-07-08,252.00,257.99
sorel,1577080,204,25,2022-07-08,168.00,173.99
sorel,1577392,210,25,2022-07-12,25.00,40.99
sorel,1577396,214,25,2022-07-12,76.00,81.99
sorel,1577400,220,25,2022-07-12,216.00,221.99
sorel,1577478,,25,2022-07-13,124.00,130.00
sorel,1577565,231,25,2022-07-13,113.00,112.99
sorel,1577567,232,25,2022-07-13,176.00,181.99
sorel,1577637,234,25,2022-07-14,216.00,221.99
sorel,1577638,235,25,2022-07-14,124.00,128.99
sorel,1577879,246,25,2022-07-15,176.00,181.99
sorel,1577986,258,25,2022-07-16,108.00,112.99
sorel,1577987,259,25,2022-07-16,108.00,112.99
sorel,1577990,263,25,2022-07-16,131.00,130.99
sorel,1578152,270,25,2022-07-19,52.00,51.99
sorel,1578368,,25,2022-07-21,88.00,94.00
sorel,1578499,274,25,2022-07-21,176.00,181.99
sorel,1578502,280,25,2022-07-21,208.00,213.99
