user_id,order_num,order_num_optipro,prescript_lab,order_date_processed,order_product_price,order_total
vaudreuilsafe,1576619,234,25,2022-07-06,115.30,159.24
vaudreuilsafe,1579718,396,25,2022-08-02,115.30,138.54
vaudreuilsafe,1591136,787,25,2022-11-04,87.30,135.74
vaudreuilsafe,1600850,1109,25,2023-01-25,143.30,175.24
vaudreuilsafe,1601350,1134,25,2023-01-28,187.90,221.39
vaudreuilsafe,1615719,1620,25,2023-05-12,87.30,108.24
vaudreuilsafe,1617699,1686,25,2023-05-27,172.30,204.24
vaudreuilsafe,1618898,1735,25,2023-06-07,49.50,69.45
vaudreuilsafe,1620555,1796,25,2023-06-17,115.30,148.79
vaudreuilsafe,1623397,,25,2023-07-13,191.98,197.98
vaudreuilsafe,1628632,2142,25,2023-08-22,115.30,136.24
vaudreuilsafe,1630501,2222,25,2023-09-05,115.30,146.29
vaudreuilsafe,1637527,2550,25,2023-10-27,101.30,131.29
vaudreuilsafe,1638605,2596,25,2023-11-03,45.30,70.29
vaudreuilsafe,1639453,2622,25,2023-11-10,115.30,121.29
vaudreuilsafe,1640074,2660,25,2023-11-15,113.98,139.42
vaudreuilsafe,1653588,3318,25,2024-02-29,208.00,228.94
vaudreuilsafe,1665034,3779,25,2024-05-22,208.00,247.45
vaudreuilsafe,1668010,3875,25,2024-06-12,116.30,147.30
vaudreuilsafe,1668415,3896,25,2024-06-14,113.98,148.93
vaudreuilsafe,1669212,3937,25,2024-06-20,87.30,122.75
vaudreuilsafe,1673595,4092,25,2024-07-24,208.00,231.25
