V-1000VD;2023-12-01;759-1623397;197.98
V-1040HX;2023-12-01;267-1640975;97.99
V-1040HX;2023-12-01;267-1640447;256
V-1040HX;2023-12-01;267-1640819;63.99
V-1040HX;2023-12-01;267-1640821;97.99
V-1040HX;2023-12-01;267-1640822;63.99
V-1040HX;2023-12-01;267-1640824;97.99
V-1040HX;2023-12-01;267-1640878;53.99
V-1040HX;2023-12-01;267-1640879;53.99
V-1040HX;2023-12-01;267-1640934;29.99
V-1040HX;2023-12-01;267-1640950;163.99
V-1040HX;2023-12-01;267-1640976;93.99
V-1040HX;2023-12-04;267-1639458;51.99
V-1040HX;2023-12-04;267-1641106;67.99
V-1040HX;2023-12-04;267-1640440;189.99
V-1040HX;2023-12-04;267-1640825;209.99
V-1040HX;2023-12-04;267-1640826;127.99
V-1040HX;2023-12-04;267-1640949;63.99
V-1040HX;2023-12-04;267-1640977;169.99
V-1040HX;2023-12-04;267-1641069;123.99
V-1040HX;2023-12-04;267-1641074;57.99
V-1040HX;2023-12-04;267-1641075;133.99
V-1040HX;2023-12-04;267-1641076;29.99
V-1040HX;2023-12-04;267-1641077;59.99
V-1040HX;2023-12-04;267-1641079;97.99
V-1040HX;2023-12-04;267-1641096;128
V-1040HX;2023-12-04;267-1641109;63.99
V-1040HX;2023-12-04;267-1641112;75.99
V-1040HX;2023-12-04;267-1641147;29.99
V-1040HX;2023-12-04;267-1641228;29.99
V-1040HX;2023-12-04;267-1641297;29.99
V-1040HX;2023-12-05;267-1637923;219.99
V-1040HX;2023-12-05;267-1639863;145.99
V-1040HX;2023-12-05;267-1640445;222
V-1040HX;2023-12-05;267-1642204;126
V-1040HX;2023-12-05;267-1640823;103.99
V-1040HX;2023-12-05;267-1641070;93.99
V-1040HX;2023-12-05;267-1641078;93.99
V-1040HX;2023-12-05;267-1641108;27.99
V-1040HX;2023-12-05;267-1641146;63.99
V-1040HX;2023-12-05;267-1641225;67.99
V-1040HX;2023-12-05;267-1641227;213.99
V-1040HX;2023-12-05;267-1641237;85
V-1040HX;2023-12-05;267-1641334;75.99
V-1040HX;2023-12-05;267-1641422;105.99
27300;2023-12-05;836-1642074;138
V-1040HX;2023-12-05;267-1642010;122
27300;2023-12-05;836-1642076;178
27300;2023-12-05;836-1642078;178
27300;2023-12-05;836-1642080;178
27300;2023-12-05;836-1642081;114
27300;2023-12-05;836-1642082;138
V-1040HX;2023-12-06;267-1639012;109.99
V-1040HX;2023-12-06;267-1640221;139.99
V-1040HX;2023-12-06;267-1640473;90.99
V-1040HX;2023-12-06;267-1641071;31.99
V-1000MO;2023-12-06;759-1641082;163.8
V-1000MO;2023-12-06;759-1641094;178.25
V-1040HX;2023-12-06;267-1641103;204
V-1040HX;2023-12-06;267-1641423;29.99
V-1040HX;2023-12-06;267-1641426;37.99
V-1040HX;2023-12-06;267-1641584;201.99
V-1040HX;2023-12-06;267-1642266;58
V-1040HX;2023-12-06;267-1641962;93.99
27300;2023-12-06;836-1642077;178
27300;2023-12-06;836-1642079;278
V-1040HX;2023-12-06;267-1642058;174
V-1040HX;2023-12-06;267-1642301;69.99
27300;2023-12-06;836-1642580;134
27300;2023-12-06;836-1642581;328
27300;2023-12-06;836-1642582;318
27300;2023-12-06;836-1642583;228
27300;2023-12-06;836-1642584;138
27300;2023-12-06;836-1642585;138
V-1040HX;2023-12-07;267-1640848;215.99
V-1040HX;2023-12-07;267-1640265;67.99
